YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),Notes
6000,SYSTEM ERROR2(PFL),Process is not performed properly on the ASF04 board.,70,Invalid of Axis Speed Monitor Condition File ,Setting error,"(1)Turn the power OFF then back ON.
(2)Confirm the Axis Speed Monitor Condition File No. 32 is valid.
(3)If the alarm occurs again, replace the ASF04 board. Save the CMOS.BIN before replacement to be safe.",,,,PFL
,,,,,Other,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6001,MUTING ERROR(PFL),PFL Speed limitation is invalid during PFL muting operation.,,,Operation mistake,"(1)Reset alarm.
(2)Confirm the robot is crashed.
(3)If PFL function is muted, confirm the safety and resume the robot.",,,,PFL
6002,NEAR SINGULARITY(PFL),"On the singularity, 2 or more axes movement is restricted. If 2 or more axes movement is detected on the singularity, this alarm is occurred.",,,Operation mistake,"(1)Reset alarm.
(2)If the alarm occurs again, confirm if 2 or more axes are moved near singularity in collaborative operation.
(3)Confirm the robot is crashed.
(4)Confirm the safety and resume the robot.",,,,PFL
6003,UNDEFINED SPEED LIMIT(PFL),"Speed limitation is required for collaborative operation. If speed limitation is not set, this alarm is occurred.",,,Setting error,"(1)Confirm the setting of speed limit condition file no.31 and 32 in accordance with the manual.
(2)Reset alarm.
(3)Confirm if collision occurs.
(4)Confirm the safety and resume the robot.",,,,PFL
6004,ESCAPE FROM CLAMPING ERROR(PFL),"When clamping is happened, robot moves the any direction which direction decrease the power automatically.
If power is increased greatly during escaping, this alarm is occurred.",,,Operation mistake,"(1)Reset alarm.
(2)If collision occurred, confirm the safety and escape from collision.
(3)Confirm if setting of Tool files is correct.
(4)Confirm if torque sensor home position is deviated. If it is deviated, set home position again following Collaborative Operation Instructions. 
(5)If the alarm occurs again, Turn the power OFF then back ON.
(6)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
,,,,,Near Singularity,"If the robot's posture when the alarm occurred is near singularity, take the following measures.
(1)Reset alarm.
(2)Confirm if external force of TCP exceeds external force limits in posture when the alarm occurred. If it exceeds, it may be improved by changing to a movement that does not pass the posture.
(3)Confirm if external force of TCP exceeds external force limits during operation.
(4)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6005,EXTERNAL FORCE ERROR(PFL),Large external force is detected continuously.,,"Sub Code:alarm occurred axis or direction
1-8: Axis number
9-12: TCP(Resultant,X,Y,Z)",Setting error,"(1)Reset alarm.
(2)If collision occurred, confirm the safety and escape from crash.
(3)Confirm if setting of Tool files is correct.
(4)Confirm the torque sensor home position. And, if home position is diverged, set correct position again following Collaborative Operation Instructions.
(5)After home position setting, confirm the movement before operation start.",,,,PFL
,,,,,Other,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6007,DEFECTIVE TIP DRESS CONDITION FILE,An error occurred in the tip dress condition file.,,Sub Code: Tip dress condition file number,Setting error,Set a positive value for the dress length of the tip dress condition file.,,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,MOTION
6008,TRQ SENSOR OVERLOAD,"This alarm occurs if a torque that is higher than the rated torque is applied to the torque sensor due to a collision of the manipulator or in other situations, or the failure is detected in the torque sensor.",,Sub Code: Indicates the axis in which the alarm occurred.,Torque sensor failure,"(1)If an external force is applied to the manipulator due to a collision with the surroundings or other causes, move the manipulator according to the manual.
(2)Turn the power OFF then back ON.
(3)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,PFL
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,PFL
6010,CONTROLLER SYNCHRONIZATION ERROR,An error occurred in inter-controller synchronization execution.,1,Master group designation error,Setting error,"(1)Reset the alarm.
(2)Confirm that the specified control group is master group.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,MOTION
6011,AVOIDANCE FUNC. PARAMETER ERROR,Parameter for avoidance function is wrong.,,"Subcode: Signifies the error type and the targeted D variable.
last 3 digit: D variable's number
first digit: erroer types
Meaning of error type is as follows.
None:Parameter range error
1:Setting of two D variables is wrong.
When setting of two D variable is wrong, the younger one is signified as the targeted D variable.",Software operation error occurred,"(1)Reset the alarm after turn off Servo Power.
(2)Check the and correct the D variable settings.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
6012,HAND GUIDING PARAMETER ERROR,Parameter for hand guiding is wrong,,"Subcode: Signifies the error type and the targeted D variable.
last 3 digit: D variable's number
first digit: errer types
Meaning of error type is as follows.
None:Parameter range error
1:Setting of two D variables is wrong.
When setting of two D variable is wrong, the younger one is signified as the targeted D variable.",Software operation error occurred,"(1)Reset the alarm.
(2)Check the and correct the D variable settings.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
6013,CANNOT START HAND GUIDING(JOINT),External force is exceeding the allowable value when starting hand guiding.,,"subcode:The axis that exceeds the allowable value is indicated by a bit.
D01:S
D02:L
D03:U
D04:R
D05:B
D06:T",Operation mistake,"(1)Reset the alarm.
(2)Reduce the force for the hand guiding when starting.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
6014,CANNOT START HAND GUIDING(XYZ-T),External force is exceeding the allowable value when starting hand guiding.,,"subcode:The direction or the axis that exceeds the allowable value is indicated by a bit.
D01:X
D02:Y
D03:Z
D04:T",Operation mistake,"(1)Reset the alarm.
(2)Reduce the force for the hand guiding when starting.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
6015,CANNOT START HAND GUIDING(RBT),External force is exceeding the allowable value when starting hand guiding.,,"subcode:The axis that exceeds the allowable value is indicated by a bit.
D01:S
D02:L
D03:U
D04:R
D05:B
D06:T",Operation mistake,"(1)Reset the alarm.
(2)Reduce the force for the hand guiding when starting.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SYSCON
