YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
4000,MEMORY ERROR(TOOL FILE),"An error was detected at memory check.
The memory for the tool file is damaged.",,Sub Code: Tool number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the tool file in maintenance mode, and then load the tool file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
4001,MEMORY ERROR(USER COORD FILE),"An error was detected at memory check.
The memory for the user coordinates file is damaged.",,Sub Code: User coordinate number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the user coordinates file in maintenance mode, and then load the user coordinates file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
4002,MEMORY ERROR(SV MON SIGNAL FILE),"An error was detected at memory check.
The memory for the servo monitor signal file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the servo monitor signal file in maintenance mode, and then load the servo monitor signal file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
4003,MEMORY ERROR(WEAVING FILE),"An error was detected at memory check.
The memory for the weaving condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the weaving condition file in maintenance mode, and then load the weaving condition file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
4004,MEMORY ERROR(HOME POS FILE),"An error was detected at memory check.
The memory for the home positioning file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the home positioning file in maintenance mode, and then load the home positioning file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
4005,MEMORY ERROR(SECOND HOME POS),"An error was detected at memory check.
The memory for the second home position file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the second home positioning file in maintenance mode, and then load the second home positioning file saved in the external memory device.",,,, SYSCON
,,,,,ACP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the ACP01 board, and then insert the SD card which inserted original ACP01 board into the new ACP01 board.",,,, SYSCON
,,,,,AIF01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,, SYSCON
