DX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,Chart1,Chart2,Detail,Notes
1000,ROM ERROR(YCP01),A checksum error occurred in the ROM of YCP01 (main CPU board).,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
1001,ROM ERROR(EAXA01),This alarm is caused by faulty data in ROM of EAXA01/EAXA02 (AXIS board).,11,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,12,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,13,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,14,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,15,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,16,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,17,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,18,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,19,A checksum error occurred in the board or the EEPROM.(*: axis No.),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,20,The SRDY signal did not turn ON after the WRITE ENABLE command was written. (EEPROM WRITE ENABLE error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,21,The SRDY signal did not turn ON after the WRITE PROTECT command was written. (EEPROM WRITE PROTECT error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,22,The SRDY signal did not turn ON after the ERASE command was written. (EEPROM ERASE error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,23,The SRDY signal did not turn ON after the CLEAR command was written. (EEPROM CLEAR error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,24,The SRDY signal did not turn ON after data were written. (EEPROM writing error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,25,The SRDY signal did not turn ON after data were read. (EEPROM reading error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,26,The written data were rejected at verification. (EEPROM verify error),EAXA board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the EAXA board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
1003,ROM ERROR(YCP02),,,,,,,,,COMARC
1020,MotoPlus application load error,Failed at loading MotoPlus application.,1,Num of the Application files on the YCP01 CF is over the limit. ,Setting error,"Delete unnecessary application files ""*.out"" by MotoPro menu in the maintenance mode in order not to exceed the file number limitation. ",,,,MotoPlus
,,,2,"Insufficient memory space.
At the loading time, remaining CPU memory is less than 2Mbyte (Stipulated memory size for MotoPro) .",Setting error,"Under current system configuration and option function combination, there is not enough memory to run MotoPro application.  If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).
It may be necessary to replace the YCP01 with the one with larger memory.",,,,MotoPlus
,,,3,"MotoPlus application folder ""/Application""cannot be found.",Setting error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP01 board, and then remove the CF from the failure YCP01 board to insert it into the new YCP01 board.",,,,MotoPlus
,,,4,Memory size  (Code area + static variable area)  required by MotoPlus Application is over the limit(2Mbyte).  ,Setting error,"(1) Check the static memory definition of the application program.
(2) Redesign the application program in order not to exceed the memory size limitation. ",,,,MotoPlus
,,,5,Undefined symbols are included in the application. The Symbols are not included in the MotoPlusAPI library or standard function library.,Setting error,Check that the application program doesn't include any undefined symbols such as function and constant that are not provided by the system.,,,,MotoPlus
,,,6,Load failure (The application cannot be loaded since the memory (program area + static variable area) that the MotoPlus application requires exceeds the specified value (2Mbyte) .) ,Setting error,"(1)Check if the static variables are correctly defined in the MotoPro application. 
(2)Review the MotoPro application program so that the memory used for it doesn't exceed the specified value. 
(3)Check if the object files are correctly created by MotoProIDE. ",,,,MotoPlus
,,,7,"API library initialization failure because of 
Insufficient system memory to load MotoPlusAPI library ",Setting error,"Under current system configuration and the combination of optional functions, the YCP01 board (Main CPU board) doesn't have enough memory to run MotoPro application. If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure). It may be necessary to change the YCP01 board to the one with a large-capacity memory. ",,,,MotoPlus
,,,8,"User root task ""mpUsrRoot()"" not included in the application",Setting error,Check if mpUsrRoot() is described in the application program. ,,,,MotoPlus
