DX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,Chart1,Chart2,Detail,Notes
4000,MEMORY ERROR(TOOL FILE),"An error was detected at memory check.
The memory for the tool file is damaged.",,Sub Code: Tool number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the tool file in maintenance mode, and then load the tool file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4001,MEMORY ERROR(USER COORD FILE),"An error was detected at memory check.
The memory for the user coordinates file is damaged.",,Sub Code: User coordinate number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the user coordinates file in maintenance mode, and then load the user coordinates file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4002,MEMORY ERROR(SV MON SIGNAL FILE),"An error was detected at memory check.
The memory for the servo monitor signal file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the servo monitor signal file in maintenance mode, and then load the servo monitor signal file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4003,MEMORY ERROR(WEAVING FILE),"An error was detected at memory check.
The memory for the weaving condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the weaving condition file in maintenance mode, and then load the weaving condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4004,MEMORY ERROR(HOME POS FILE),"An error was detected at memory check.
The memory for the home positioning file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the home positioning file in maintenance mode, and then load the home positioning file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4005,MEMORY ERROR(SECOND HOME POS),"An error was detected at memory check.
The memory for the second home position file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the second home positioning file in maintenance mode, and then load the second home positioning file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4006,MEMORY ERROR(POWER SOURCE COND),"An error was detected at memory check.
The memory for the arc welding Power Source condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the arc welding Power Source condition file in maintenance mode, and then load the arc welding Power Source condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4007,MEMORY ERR(ARC START COND FILE),"An error was detected at memory check.
The memory for the arc start condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the arc start condition file in maintenance mode, and then load the arc start condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4008,MEMORY ERROR(ARC END COND FILE),"An error was detected at memory check.
The memory for the arc end condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the arc end condition file in maintenance mode, and then load the arc end condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4009,MEMORY ERROR(ARC AUX COND FILE),"An error was detected at memory check.
The memory for the arc auxiliary condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the arc auxiliary condition file in maintenance mode, and then load the arc auxiliary condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4010,MEMORY ERROR(COM-ARC COND FILE),"An error was detected at memory check.
The memory for the COM-ARC condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the COM-ARC condition file in maintenance mode, and then load the COM-ARC condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4011,MEMORY ERROR(FILE DATA),"An error was detected at memory check.
The memory for the file is damaged.",264,Sub Code: TAKUMI PATH CORRECT FILE,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the TAKUMI Path Correct File in maintenance mode, and then load the TAKUMI Path Correct File saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4012,MEMORY ERROR(LINK SERVOFLOAT),"An error was detected at memory check.
The memory for the link servo float condition file is damaged.",,Sub Code: Condition file number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the link servo float condition file in maintenance mode, and then load the link servo float condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4013,MEMORY ERROR(LINEAR SERVOFLOAT),"An error was detected at memory check.
The memory for the linear servo float condition file is damaged.",,Sub Code: Condition file number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the linear servo float condition file in maintenance mode, and then load the linear servo float condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4014,MEMORY ERROR(ROBOT CALIB FILE),"An error was detected at memory check.
The memory for the file for calibration between manipulators is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the file for calibration between manipulators in maintenance mode, and then load the file for calibration between manipulators saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4017,MEMORY ERROR(POWER SRC USER-DEF),"An error was detected at memory check.
The memory for the Power Source user definition file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the Power Source user definition file in maintenance mode, and then load the Power Source user definition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4018,MEMORY ERR(LADDER PRG FILE),"An error was detected at memory check.
The memory for the ladder program file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the ladder program file in maintenance mode, and then load the ladder program file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
